index,OLID,author,name,cover
1,OL8898482M,Malcolm Gladwell,Blink,879303
2,OL32091753M,Malcolm Gladwell,David & Goliath,10746563
3,OL28370993M,Richard Dawkins,Outgrowing God,10031271
4,OL37047220M,Michael Pollan,Cooked,12624882
5,OL28331857M,Malcolm Gladwell,What the Dog Saw,10280955
6,OL21594367M,Malcolm Gladwell,Tipping Point,10873293
7,OL24391629M,Richard Dawkins,The Greatest Show on Earth,6645878
8,OL28130776M,Jon Ronson,Lost at Sea,10308287
9,OL35678174M,A Thousand Brains,Jeff Hawkins,12377591
10,OL8971647M,Vaclav Smil,Energy,2043899
11,OL30125176M,Michael Pollan,How To Change Your Mind,10439667
12,OL26554445M,Daniel Kahneman et al.,Noise,10981966
13,OL3024629M,Richard Dawkins,The Blind Watchmaker,7145625
14,OL35693668M,Haruki Murakami,Men Without Women,12391269
15,OL25082830M,Richard Dawkins,The Magic of Reality,6954865
16,OL27322193M,Edward Snowden,Permanent Record,10834065
17,OL23077711M,Michael Pollan,The Omnivore’s Dilemma,8596711
18,OL32760762M,Trevor Noah,Born a Crime,11387472
19,OL27193250M,Walter Isaacson,Steve Jobs,10675985
20,OL32445039M,"Bastian Obermayer, Fredrik Obermaier",The Panama Papers,11104316
21,OL4554174M,Richard Dawkins,The Selfish Gene,7891217
22,OL28307932M,Raghuram Rajan,Fault Lines,10235791
23,OL25440550M,Thomas Piketty,Capital in 21st Century,7274591
24,OL32289956M,Tom Burgis,Kleptopia,10916280
25,OL33419549M,Douglas Adams,The Ultimate Hitchhikers Guide to the Galaxy,11972784
26,OL24243313W,Nicolas Nissim Taleb,Fooled by Randomness,10722532
27,OL27404766M,Shashi Tharoor,The Inglorious Empire,8866894
28,OL27366070M,William Taubman,Gorbachev,8829228
29,OL35354582M,Nicolas Nissim Taleb,The Black Swan,12195345
30,OL27206755M,Phil Knight,Shoe Dog,13086786
31,OL36270783M,Haruki Murakami,Kafka on the Shore,12657305
32,OL25538028M,Edwin Abbott Abbott,Flatland,10016185
33,OL7590438M,George S Clason,Richest Man in Babylon,296336
34,OL28198631M,Sarah Harvey,Kaizen,10134351
35,OL31438584M,William Strunk,The Elements of Style,10519568
36,OL36583747M,Bill Gates,How to Prevent the Next Pandemic,12729393
37,OL36618901M,Matt Parker,Things to Make and Do in the Fourth Dimension,12510839
38,OL35038410M,Vaclav Smil,How the World Really Works,12777538
39,OL4569826W,George Polya,How to Solve it,94954
40,OL26374794M,Peter Wohlleben,The Hidden lives of Trees,8064205
41,OL30677089M,Eric Jorgenson,The Almanack of Naval Ravikant,10483235
42,OL22661787W,Erik Conway,Merchants of Doubt,10483356
43,OL2040840M,James Gleick,Chaos,94249
44,OL32835319M,Siddhartha Mukherjee,The Gene,11466863
45,OL33055982M,Anna Lembke,Dopamine Nation,11757830
46,OL32196580M,"Sunil Gupta, Sunetra Choudhury",Black Warrant,10847077
47,OL27449843M,Bill Browder,Red Notice,8908883
48,OL36665710M,Neil Degrasse Tyson,Starry Messenger,12903146
49,OL26327044M,Randall Munroe,What If?,13124540
50,OL25648567M,Peter Theil,Zero to One,7318839
